"Accession","Symbol","Gene Name","Rank","Fold_Change"
"NM_006464.2","TGOLN2","Homo sapiens trans-golgi network protein 2 (TGOLN2), mRNA.",1,1.74152070641764
"NM_015466.1","PTPN23","Homo sapiens protein tyrosine phosphatase, non-receptor type 23 (PTPN23), mRNA.",2,1.676020860834
"NM_003807.2","TNFSF14","Homo sapiens tumor necrosis factor (ligand) superfamily, member 14 (TNFSF14), transcript variant 1, mRNA.",3,1.48357729487007
"XM_931232.1","LOC90120","PREDICTED: Homo sapiens hypothetical gene supported by AK023162, transcript variant 4 (LOC90120), mRNA.",4,1.45121772563165
"NM_022459.4","XPO4","Homo sapiens exportin 4 (XPO4), mRNA.",5,1.37021938974055
"NM_016626.3","MEX3C","Homo sapiens mex-3 homolog C (C. elegans) (MEX3C), mRNA.",6,1.80422573224177
"NM_138787.2","C11orf74","Homo sapiens chromosome 11 open reading frame 74 (C11orf74), mRNA.",7,2.56432123606868
"XM_930721.1","LOC653071","PREDICTED: Homo sapiens similar to CG32820-PA, isoform A, transcript variant 5 (LOC653071), mRNA.",8,3.43303192077156
"NM_032731.3","TXNDC17","Homo sapiens thioredoxin domain containing 17 (TXNDC17), mRNA.",9,2.17693534961154
"NM_022662.2","ANAPC1","Homo sapiens anaphase promoting complex subunit 1 (ANAPC1), mRNA.",10,1.30511180964792
"NM_024938.2","PCNXL2","Homo sapiens pecanex-like 2 (Drosophila) (PCNXL2), transcript variant 2, mRNA.",11,1.68127860079805
"NM_033547.3","INTS4","Homo sapiens integrator complex subunit 4 (INTS4), mRNA.",12,1.75742794081156
"XM_934316.1","LOC653352","PREDICTED: Homo sapiens similar to eukaryotic translation initiation factor 3, subunit 8, transcript variant 12 (LOC653352), mRNA.",13,3.10665530570376
"NM_020701.2","ISY1","Homo sapiens ISY1 splicing factor homolog (S. cerevisiae) (ISY1), mRNA.",14,1.55869588851116
"NM_138476.2","MDP1","Homo sapiens magnesium-dependent phosphatase 1 (MDP1), mRNA.",15,1.67832879282864
"NM_000584.2","IL8","Homo sapiens interleukin 8 (IL8), mRNA.",16,7.02487601718875
"XM_001134215.1","PDPR","PREDICTED: Homo sapiens pyruvate dehydrogenase phosphatase regulatory subunit (PDPR), mRNA.",17,4.80606317891258
"NM_018991.2","STAG3L1","Homo sapiens stromal antigen 3-like 1 (STAG3L1), transcript variant 1, mRNA.",18,1.76813357651996
"NM_014251.1","SLC25A13","Homo sapiens solute carrier family 25, member 13 (citrin) (SLC25A13), mRNA.",19,2.26309585631033
"XM_496442.3","LOC440733","PREDICTED: Homo sapiens similar to 40S ribosomal protein S15 (RIG protein) (LOC440733), mRNA.",20,1.34368617677054
"NM_003730.3","RNASET2","Homo sapiens ribonuclease T2 (RNASET2), mRNA.",21,1.77985068720817
"NM_000313.1","PROS1","Homo sapiens protein S (alpha) (PROS1), mRNA.",22,5.49548270796222
"NM_001025356.1","ANO6","Homo sapiens anoctamin 6 (ANO6), mRNA.",23,2.88262439537046
"NM_017916.1","PIH1D1","Homo sapiens PIH1 domain containing 1 (PIH1D1), mRNA.",24,1.66635557629491
"XR_017764.1","LOC285550","PREDICTED: Homo sapiens misc_RNA (LOC285550), miscRNA.",25,1.83488150415054
"NM_000615.5","NCAM1","Homo sapiens neural cell adhesion molecule 1 (NCAM1), transcript variant 1, mRNA.",26,4.31484676297843
"NM_007047.3","BTN3A2","Homo sapiens butyrophilin, subfamily 3, member A2 (BTN3A2), mRNA.",27,2.47161968752946
"XR_000900.1","LOC390354","PREDICTED: Homo sapiens similar to ribosomal protein L18a; 60S ribosomal protein L18a, transcript variant 36 (LOC390354), misc RNA.",28,1.53460388902563
"NM_004036.3","ADCY3","Homo sapiens adenylate cyclase 3 (ADCY3), mRNA.",29,2.85623885863406
"NM_138798.1","MITD1","Homo sapiens MIT, microtubule interacting and transport, domain containing 1 (MITD1), mRNA.",30,2.08637465611543
"NM_198562.1","C3orf62","Homo sapiens chromosome 3 open reading frame 62 (C3orf62), mRNA.",31,1.70432810265084
"NM_052911.2","ESCO1","Homo sapiens establishment of cohesion 1 homolog 1 (S. cerevisiae) (ESCO1), mRNA.",32,1.41645709128461
"NM_003897.3","IER3","Homo sapiens immediate early response 3 (IER3), mRNA.",33,5.71452340286115
"NM_015947.2","ASCC1","Homo sapiens activating signal cointegrator 1 complex subunit 1 (ASCC1), mRNA.",34,1.95625334340956
"NM_203458.3","NOTCH2NL","Homo sapiens Notch homolog 2 (Drosophila) N-terminal like (NOTCH2NL), mRNA.",35,2.13972277400081
"NM_080598.4","BAT1","Homo sapiens HLA-B associated transcript 1 (BAT1), transcript variant 2, mRNA.",36,1.76033729670317
"XM_933557.1","FLJ30092","PREDICTED: Homo sapiens AF-1 specific protein phosphatase, transcript variant 2 (FLJ30092), mRNA.",37,1.46099564495197
"NM_022078.1","GPATCH3","Homo sapiens G patch domain containing 3 (GPATCH3), mRNA.",38,1.39796424078381
"NM_015028.1","TNIK","Homo sapiens TRAF2 and NCK interacting kinase (TNIK), mRNA.",39,1.56319027293294
"NM_007350.3","PHLDA1","Homo sapiens pleckstrin homology-like domain, family A, member 1 (PHLDA1), mRNA.",40,5.68644164789043
"NM_024871.1","MAP6D1","Homo sapiens MAP6 domain containing 1 (MAP6D1), mRNA.",41,2.75339770932443
"NM_016324.2","ZNF274","Homo sapiens zinc finger protein 274 (ZNF274), transcript variant ZNF274b, mRNA.",42,1.85041650471378
"NM_174940.2","TMEM80","Homo sapiens transmembrane protein 80 (TMEM80), transcript variant 1, mRNA.",43,2.07586004116436
"NM_006197.3","PCM1","Homo sapiens pericentriolar material 1 (PCM1), mRNA.",44,1.58028591960368
"NM_014048.3","MKL2","Homo sapiens MKL/myocardin-like 2 (MKL2), mRNA.",45,1.72356342842402
"NM_001017529.1","PRR5","Homo sapiens proline rich 5 (renal) (PRR5), transcript variant 5, mRNA.",46,2.46032152772501
"NM_133367.3","PAQR8","Homo sapiens progestin and adipoQ receptor family member VIII (PAQR8), mRNA.",47,2.82448963358163
"NM_033518.1","SLC38A5","Homo sapiens solute carrier family 38, member 5 (SLC38A5), mRNA.",48,1.49302411602199
"NM_001444.1","FABP5","Homo sapiens fatty acid binding protein 5 (psoriasis-associated) (FABP5), mRNA.",49,1.77568206695719
"NM_006627.1","POP4","Homo sapiens processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae) (POP4), mRNA.",50,1.90555142733296
"NM_005572.3","LMNA","Homo sapiens lamin A/C (LMNA), transcript variant 2, mRNA.",51,4.91544261211739
"NM_002526.1","NT5E","Homo sapiens 5'-nucleotidase, ecto (CD73) (NT5E), mRNA.",52,3.0438991719435
"NM_022496.3","ACTR6","Homo sapiens ARP6 actin-related protein 6 homolog (yeast) (ACTR6), mRNA.",53,1.63134986093845
"NM_001183.4","ATP6AP1","Homo sapiens ATPase, H+ transporting, lysosomal accessory protein 1 (ATP6AP1), mRNA.",54,2.0343600460355
"NM_182553.1","CNIH2","Homo sapiens cornichon homolog 2 (Drosophila) (CNIH2), mRNA.",55,1.47455942053
"XM_496278.3","ZNF516","PREDICTED: Homo sapiens zinc finger protein 516 (ZNF516), mRNA.",56,1.79063565240677
"NM_024065.3","PDCL3","Homo sapiens phosducin-like 3 (PDCL3), mRNA.",57,1.53585837921265
"NM_175932.1","PSMD13","Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 13 (PSMD13), transcript variant 2, mRNA.",58,2.02647994036118
"NM_145113.1","MAX","Homo sapiens MYC associated factor X (MAX), transcript variant 3, mRNA.",59,2.4486140181256
"NM_057165.2","COL6A3","Homo sapiens collagen, type VI, alpha 3 (COL6A3), transcript variant 3, mRNA.",60,1.72689354940699
"NM_020998.2","MST1","Homo sapiens macrophage stimulating 1 (hepatocyte growth factor-like) (MST1), mRNA.",61,1.72340890511303
"NM_014792.2","KIAA0125","Homo sapiens KIAA0125 (KIAA0125), mRNA.",62,2.15170045288608
"NM_181311.1","TAZ","Homo sapiens tafazzin (cardiomyopathy, dilated 3A (X-linked); endocardial fibroelastosis 2; Barth syndrome) (TAZ), transcript variant 2, mRNA.",63,1.53451774172181
"NM_003970.1","MYOM2","Homo sapiens myomesin (M-protein) 2, 165kDa (MYOM2), mRNA.",64,18.0667128201901
"NM_012432.2","SETDB1","Homo sapiens SET domain, bifurcated 1 (SETDB1), mRNA.",65,2.01216278094345
"NM_018054.4","ARHGAP17","Homo sapiens Rho GTPase activating protein 17 (ARHGAP17), transcript variant 2, mRNA.",66,1.94008590379535
"NM_014463.1","LSM3","Homo sapiens LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM3), mRNA.",67,1.53176310898252
"NM_080737.1","SYTL4","Homo sapiens synaptotagmin-like 4 (granuphilin-a) (SYTL4), mRNA.",68,4.65061254571496
"NM_145911.1","ZNF23","Homo sapiens zinc finger protein 23 (KOX 16) (ZNF23), mRNA.",69,1.64540305429344
"XM_935475.1","LOC653820","PREDICTED: Homo sapiens similar to family with sequence similarity 72, member A, transcript variant 2 (LOC653820), mRNA.",70,2.1624574048375
"NM_017670.1","OTUB1","Homo sapiens OTU domain, ubiquitin aldehyde binding 1 (OTUB1), mRNA.",71,1.46933802601764
"NM_000485.2","APRT","Homo sapiens adenine phosphoribosyltransferase (APRT), transcript variant 1, mRNA.",72,2.1298262377464
"NM_005243.2","EWSR1","Homo sapiens Ewing sarcoma breakpoint region 1 (EWSR1), transcript variant EWS, mRNA.",73,1.39127156688622
"NM_017915.2","C12orf48","Homo sapiens chromosome 12 open reading frame 48 (C12orf48), mRNA.",74,2.12439771355606
"NM_017994.4","C7orf42","Homo sapiens chromosome 7 open reading frame 42 (C7orf42), mRNA.",75,1.55537120697237
"NR_003287.1","LOC100008589","Homo sapiens 28S ribosomal RNA (LOC100008589), non-coding RNA.",76,10.4009658994367
"NM_001008406.1","BCAP29","Homo sapiens B-cell receptor-associated protein 29 (BCAP29), transcript variant 3, mRNA.",77,1.43339073728511
"NM_022494.1","ZDHHC6","Homo sapiens zinc finger, DHHC-type containing 6 (ZDHHC6), mRNA.",78,1.43237201864823
"NM_014606.1","HERC3","Homo sapiens hect domain and RLD 3 (HERC3), mRNA.",79,1.77078438177381
"NM_173620.2","HEXDC","Homo sapiens hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing (HEXDC), mRNA.",80,2.53905343835523
"NM_018109.2","PAPD1","Homo sapiens PAP associated domain containing 1 (PAPD1), mRNA.",81,1.58440322736186
"NM_021807.3","EXOC4","Homo sapiens exocyst complex component 4 (EXOC4), transcript variant 1, mRNA.",82,1.60815349268411
"NM_006830.2","UQCR","Homo sapiens ubiquinol-cytochrome c reductase, 6.4kDa subunit (UQCR), mRNA.",83,1.50554828252603
"NM_001009936.1","PHF19","Homo sapiens PHD finger protein 19 (PHF19), transcript variant 2, mRNA.",84,2.2074895410174
"NM_152383.4","DIS3L2","Homo sapiens DIS3 mitotic control homolog (S. cerevisiae)-like 2 (DIS3L2), mRNA.",85,1.69747189993218
"NM_002027.2","FNTA","Homo sapiens farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.",86,1.69131576144332
"NM_005804.2","DDX39","Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 (DDX39), mRNA.",87,1.81437431744658
"NM_001880.2","ATF2","Homo sapiens activating transcription factor 2 (ATF2), mRNA.",88,1.7786930143666
"NM_015316.2","PPP1R13B","Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 13B (PPP1R13B), mRNA.",89,2.35284495173565
"NM_018381.2","C19orf66","Homo sapiens chromosome 19 open reading frame 66 (C19orf66), mRNA.",90,2.80424915499759
"NM_024525.2","TTC13","Homo sapiens tetratricopeptide repeat domain 13 (TTC13), mRNA.",91,2.1433041403081
"NM_015264.1","C22orf9","Homo sapiens chromosome 22 open reading frame 9 (C22orf9), transcript variant 1, mRNA.",92,1.99830693855535
"NM_203307.2","ZNF321","Homo sapiens zinc finger protein 321 (ZNF321), mRNA.",93,1.36171124994359
"NM_024718.2","C9orf86","Homo sapiens chromosome 9 open reading frame 86 (C9orf86), mRNA.",94,1.32038612211328
"XM_942439.1","LOC654260","PREDICTED: Homo sapiens similar to beta-tubulin cofactor D isoform 1 (LOC654260), mRNA.",95,1.32219246939004
"NM_203464.1","AK3L1","Homo sapiens adenylate kinase 3-like 1 (AK3L1), nuclear gene encoding mitochondrial protein, transcript variant 7, mRNA.",96,1.93539809166276
"NM_003183.4","ADAM17","Homo sapiens ADAM metallopeptidase domain 17 (ADAM17), mRNA.",97,1.71527660636812
"NM_002897.3","RBMS1","Homo sapiens RNA binding motif, single stranded interacting protein 1 (RBMS1), transcript variant 3, mRNA.",98,1.64884744848457
"NM_153750.1","C21orf81","Homo sapiens chromosome 21 open reading frame 81 (C21orf81), mRNA.",99,2.39781224172298
