"","GSM1230902","GSM1230903","GSM1230905","GSM1230906","GSM1230907","GSM1230908","GSM1230909","GSM1230910","GSM1230911","GSM1230912","GSM1230913","GSM1230914","GSM1230915","GSM1230916","GSM1230917","GSM1230918","GSM1230919","GSM1230920","GSM1230921","GSM1230922","GSM1230923","GSM1230924","GSM1230925","GSM1230926","GSM1230927","GSM1230928","GSM1230929","GSM1230930","GSM1230931","GSM1230932","GSM1230933","GSM1230934","GSM1230935","GSM1230936","GSM1230937","GSM1230938","GSM1230939","GSM1230940","GSM1230941","GSM1230942","GSM1230943","GSM1230944","GSM1230945","GSM484368","GSM484369","GSM484370","GSM484371","GSM484372","GSM484373","GSM484374","GSM484375","GSM484376","GSM484377","GSM484378","GSM484379","GSM484380","GSM484381","GSM484382","GSM484383","GSM484384","GSM484385","GSM484386","GSM484387","GSM484388","GSM484389","GSM484390","GSM484391","GSM484392","GSM484393","GSM484394","GSM484395","GSM484396","GSM484397","GSM484398","GSM484399","GSM484400"
"ILMN_1651735",3780.23,4106.05,3600.38,3820.65,3478.27,3651.42,3590.18,3316.26,3651.42,2892.34,3499.02,3194.2,4765.19,3786.28,3600.15,3807.15,3369.86,4049,3937.53,3707.39,3731.72,4608.01,3005.16,3324.47,4473.12,4221.7,4537.61,4416.24,4765.19,5037.07,4288.71,4314.79,4249.11,4493.78,3229.11,4311.09,2905.88,3937.53,4822.35,4340.78,4429.1,4652.42,4045.84,637.9635,852.8859,649.3218,698.1226,508.6868,574.2831,480.5962,538.0518,542.2611,610.0609,612.0726,516.7745,545.5705,632.7842,550.8076,539.2129,433.0814,451.8118,670.8227,740.1302,660.3315,603.7988,541.2141,548.4549,664.1816,520.9757,445.6188,439.2108,466.7071,489.7129,663.2269,648.8577,532.806
"ILMN_1654318",359.476,249.8935,391.731,312.533,265.859,440.286,340.192,253.533,231.055,358.099,341.412,458.639,353.603,277.296,297.967,273.523,374.568,456.198,342.304,377.964,356.72,317.933,275.778,338.158,275.799,332.785,311.394,244.758,334.688,251.873,326.59,281.837,272.625,350.175,387.253,308.678,330.053,238.879,298.944,311.289,288.256,356.793,272.178,12.34175,22.38311,15.08436,19.94728,10.90727,20.40047,10.91787,22.00873,14.46729,23.09518,8.968057,16.54032,11.06801,18.05418,15.75339,20.44116,4.268836,16.55093,22.65208,11.30637,12.60215,16.82261,21.5912,12.25978,17.05791,17.73368,13.30521,9.940712,16.20237,15.91694,21.56928,17.53726,9.913409
"ILMN_1655414",210.712,239.9125,292.876,249.293,239.012,298.205,529.024,385.698,275.812,308.457,219.843,336.472,186.249,170.587,470.741,249.886,211.556,379.594,449.091,336.475,244.024,247.656,219.986,243.788,253.079,245.836,188.844,199.678,169.126,190.798,175.929,200.709,221.754,239.881,247.735,218.088,252.644,228.106,205.763,220.178,225.03,199.99,230.597,726.1361,700.5313,501.0247,617.0716,504.1558,366.8651,554.0427,516.8787,434.7437,366.0784,484.8695,408.0689,349.7729,582.3282,462.1814,432.8309,599.3936,341.2993,593.6221,381.2027,733.0018,640.8251,515.5784,607.5811,603.2897,380.4221,433.2198,541.6077,556.7802,570.7001,652.4575,768.3922,495.1284
"ILMN_1657673",414.034,348.0345,351.096,328.923,361.295,357.598,440.17,364.28,377.197,394.667,413.144,386.798,331.16,337.955,330.864,390.165,344.356,307.171,388.053,380.532,386.789,338.799,410.811,419.46,401.334,370.543,423.218,333.139,442.453,366.186,372.876,397.517,413.784,388.053,388.07,380.086,429.363,364.19,445.772,437.445,403.551,364.601,432.286,21.93816,26.41952,26.478,25.83541,15.6072,17.08031,36.05165,29.55429,23.6969,28.68473,19.59503,34.77544,18.50175,30.35303,27.18987,13.78691,33.13793,67.48986,39.9566,19.64433,24.44902,36.38126,17.68106,24.98283,35.88873,33.66299,30.90346,22.67707,20.3653,21.5309,26.74004,31.24354,32.68085
"ILMN_1657873",1869.41,1793.78,1995.41,2071.36,1890.26,1577.07,1663.76,1925.48,1676.5,1567.53,1681.65,1821.45,1664.39,1806.87,2094.07,2002,1611.76,1787.85,1936.19,1620.4,1987.73,1899.64,1759.34,1366.86,1971.29,1672.09,1551.34,1801.45,1448.49,2019.14,1273.58,1807.67,1574.37,1499.11,1543.25,1719.64,1450.63,1728.66,1370.96,1348.63,2147.86,1679.96,1959.25,155.272,106.2244,131.0914,139.3895,124.0523,139.1724,146.1484,146.7901,113.0325,148.3328,117.5499,86.92639,68.56926,73.03161,158.5006,63.3825,93.10287,149.6429,103.0653,65.10184,82.67767,117.4206,91.03162,106.7499,129.4766,105.358,117.9766,36.00703,83.47258,135.5459,85.33587,68.17415,139.8071
"ILMN_1658182",2356.46,2749.505,2852.84,3638.61,2421.23,2030.76,3783.47,2609.73,2638.24,2089.42,2201.14,1556.18,2260.75,3116.49,3080.43,3066.91,2655.11,2050.15,2004.4,2516.95,2260.75,2751.45,1595.36,1625.14,1935.5,2079.43,1657.82,2084.15,1672.52,2510.91,1651.37,1946.19,2476.59,2268,1132.82,2005.15,1314.5,2556.97,1829.37,1339.16,2807.7,1570.69,1626.05,106.0771,82.38638,89.83364,126.8167,70.88757,102.6534,91.05151,114.1616,77.2422,141.6183,128.819,149.1075,67.45652,109.733,132.7227,70.51341,94.14112,133.4342,82.6809,70.96953,92.17311,157.6837,76.78033,111.7646,106.7758,79.12483,104.3206,53.88736,82.34509,95.45168,76.4426,75.06533,112.0559
"ILMN_1659017",233.59,217.133,293.468,191.834,196.992,299.188,359.513,236.9,211.944,222.877,264.817,270.674,273.164,296.347,251.438,202.222,430.292,221.59,216.871,314.59,269.259,267.94,215.057,370.698,243.662,353.616,433.868,296.128,418.161,340.759,270.319,284.29,465.607,372.292,169.135,491.924,260.909,255.009,213.64,246.218,196.779,402.069,242.984,28.17395,40.89162,25.80785,11.97118,18.71694,25.66497,18.51697,19.38545,11.09056,20.22117,19.86681,14.79759,27.60006,35.33171,12.95083,19.6188,21.6455,29.55407,24.06616,30.06041,10.31741,34.97816,34.30915,18.63282,26.52332,24.34687,20.65139,21.73671,17.3435,18.86115,20.55079,16.67511,6.924534
"ILMN_1659365",311.923,480.424,692.041,666.715,262.431,621.122,697.538,541.442,401.484,729.457,443.601,684.967,553.428,737.817,592.031,529.971,794.091,416.236,446.75,528.897,527.348,316.921,282.102,900.934,473.653,797.333,580.065,445.719,840.761,867.879,411.07,471.833,355.666,431.774,295.072,479.668,632.462,307.862,661.756,593.595,603.534,654.758,483.895,27.11813,6.568309,6.874413,15.72599,2.181239,8.98907,77.78592,29.22176,10.0887,58.81182,31.26059,55.01461,11.86841,18.13032,17.65047,14.96971,37.44945,20.20875,73.30923,59.78898,65.838,79.9137,39.17239,49.86047,65.05276,36.72166,50.09491,18.06534,36.59279,48.2022,58.8099,54.1256,102.9192
"ILMN_1659437",3719.7,4265.005,3316.26,4034.47,3861.23,2883.2,3992.12,3963.84,4108.86,5168.57,5343.86,3145.93,5584.89,3907.81,4315.02,3841.34,4126.68,2891.89,4264.85,4175.87,3786.97,3118.81,3094.95,4602.51,4175.87,4841.5,4822.7,6276.54,5753.24,4762.2,5333.83,5343.86,5994.48,5819.56,3006.66,4296.82,5018.55,3862.26,4815.55,5496.78,3461.24,3600.32,5674.92,1007.177,880.0727,967.3184,896.9149,961.2613,794.7865,808.7217,795.7289,712.7687,820.082,860.5491,705.4943,1366.854,1442.145,995.973,1445.298,1066.147,822.02,1346.654,1421.074,1368.838,1175.345,997.7956,1026.994,1148.34,766.6299,823.9014,1389.474,847.2342,1152.212,1417.46,1304.414,1184.791
"ILMN_1659553",1697.31,1882.13,1634.68,1875.46,1454.58,2064.49,1526.29,1396.57,1487.82,1689.12,1980.78,1572.66,1405.23,1589.65,1620.39,1592.02,1898.24,2035.29,1762.72,1605.6,1548.75,1908.31,1569.83,1457.22,1497.39,1473.11,1531.55,1218.71,1531.34,1558.14,1726.29,1822.68,945.7,1473.4,1682.4,1434.87,1494.17,1549.71,1705.65,1604.01,1693.99,975.312,1413.01,74.20348,53.52551,78.26419,95.61951,60.95018,74.40266,89.27496,51.61842,104.0948,136.7842,68.76365,108.8113,46.94658,47.6716,67.67777,44.76773,89.85827,81.33308,76.13836,60.225,64.7334,56.62631,88.13553,79.42477,72.76679,127.7415,92.03759,77.57423,73.69724,123.7062,54.9614,65.07611,63.32785
