"","ID","Symbol"
"ILMN_1653514","ILMN_1653514","RBBP4"
"ILMN_1653622","ILMN_1653622","LOC648716"
"ILMN_1653771","ILMN_1653771","WDR63"
"ILMN_1653856","ILMN_1653856","STS-1"
"ILMN_1657470","ILMN_1657470","YTHDF3"
"ILMN_1657475","ILMN_1657475","GALT"
"ILMN_1657977","ILMN_1657977","MSRB2"
"ILMN_1658411","ILMN_1658411","CHD4"
"ILMN_1658469","ILMN_1658469","TP53AP1"
"ILMN_1658728","ILMN_1658728","ZBTB25"
"ILMN_1664094","ILMN_1664094","P2RY13"
"ILMN_1665203","ILMN_1665203","SUMO4"
"ILMN_1666384","ILMN_1666384","LOC151579"
"ILMN_1667112","ILMN_1667112","FBXO7"
"ILMN_1667716","ILMN_1667716","TMEM101"
"ILMN_1668928","ILMN_1668928","MLKL"
"ILMN_1669966","ILMN_1669966","NDUFS7"
"ILMN_1671028","ILMN_1671028","THRAP3"
"ILMN_1672717","ILMN_1672717","C10orf57"
"ILMN_1673185","ILMN_1673185","CPSF2"
"ILMN_1673898","ILMN_1673898","ATG12"
"ILMN_1674046","ILMN_1674046","C10orf128"
"ILMN_1674985","ILMN_1674985","TMEM51"
"ILMN_1675583","ILMN_1675583","SPG7"
"ILMN_1676014","ILMN_1676014","LOC728635"
"ILMN_1678974","ILMN_1678974","SEMA4G"
"ILMN_1679382","ILMN_1679382","CCT2"
"ILMN_1679641","ILMN_1679641","FAM120B"
"ILMN_1679867","ILMN_1679867","LOC642255"
"ILMN_1682399","ILMN_1682399","CLOCK"
"ILMN_1682636","ILMN_1682636","CXCL2"
"ILMN_1682762","ILMN_1682762","IDH3G"
"ILMN_1683817","ILMN_1683817","UBE2Q2"
"ILMN_1684197","ILMN_1684197","GPKOW"
"ILMN_1684771","ILMN_1684771","PGRMC1"
"ILMN_1687036","ILMN_1687036","MRPL47"
"ILMN_1687533","ILMN_1687533","SEMA4D"
"ILMN_1688180","ILMN_1688180","ASPSCR1"
"ILMN_1688565","ILMN_1688565","ZNF580"
"ILMN_1696643","ILMN_1696643","TLN1"
"ILMN_1698307","ILMN_1698307","DBNL"
"ILMN_1698849","ILMN_1698849","CHRNA2"
"ILMN_1702171","ILMN_1702171","LPCAT1"
"ILMN_1702396","ILMN_1702396","PACSIN2"
"ILMN_1705442","ILMN_1705442","CMTM3"
"ILMN_1708485","ILMN_1708485","BIN3"
"ILMN_1709114","ILMN_1709114","MAP3K7IP1"
"ILMN_1709287","ILMN_1709287","LOC651575"
"ILMN_1710738","ILMN_1710738","RC3H2"
"ILMN_1711208","ILMN_1711208","CELSR2"
"ILMN_1712347","ILMN_1712347","LOC644422"
"ILMN_1712959","ILMN_1712959","DUSP2"
"ILMN_1713749","ILMN_1713749","CORO1A"
"ILMN_1714364","ILMN_1714364","PTK2"
"ILMN_1715013","ILMN_1715013","ERMAP"
"ILMN_1717326","ILMN_1717326","SLC29A3"
"ILMN_1718128","ILMN_1718128","PABPC3"
"ILMN_1720266","ILMN_1720266","LOC91431"
"ILMN_1720303","ILMN_1720303","OSTM1"
"ILMN_1721136","ILMN_1721136","H6PD"
"ILMN_1722532","ILMN_1722532","JMJD1A"
"ILMN_1723412","ILMN_1723412","ASCL2"
"ILMN_1724194","ILMN_1724194","NPEPL1"
"ILMN_1725079","ILMN_1725079","TSPAN31"
"ILMN_1725312","ILMN_1725312","RASA1"
"ILMN_1725471","ILMN_1725471","GK"
"ILMN_1726391","ILMN_1726391","MRPL39"
"ILMN_1728163","ILMN_1728163","CTDSP1"
"ILMN_1728199","ILMN_1728199","POLE"
"ILMN_1729767","ILMN_1729767","TARBP2"
"ILMN_1730539","ILMN_1730539","NPHP3"
"ILMN_1730818","ILMN_1730818","C19orf30"
"ILMN_1731745","ILMN_1731745","NINJ2"
"ILMN_1732343","ILMN_1732343","SIK3"
"ILMN_1732750","ILMN_1732750","CHCHD8"
"ILMN_1733690","ILMN_1733690","AKAP7"
"ILMN_1734288","ILMN_1734288","DUSP18"
"ILMN_1734316","ILMN_1734316","YME1L1"
"ILMN_1734830","ILMN_1734830","MTHFR"
"ILMN_1736184","ILMN_1736184","GSTM3"
"ILMN_1736742","ILMN_1736742","GLT25D2"
"ILMN_1737574","ILMN_1737574","LOC648605"
"ILMN_1737847","ILMN_1737847","RMND5B"
"ILMN_1738075","ILMN_1738075","CMIP"
"ILMN_1740200","ILMN_1740200","LOC728216"
"ILMN_1742187","ILMN_1742187","MAN1A1"
"ILMN_1743396","ILMN_1743396","ACOX3"
"ILMN_1743456","ILMN_1743456","ZCCHC14"
"ILMN_1744268","ILMN_1744268","PLEC1"
