Sample_ID,SVM_Score
GSM1230902,0.9998296
GSM1230903,1.0002707
GSM1230905,0.9998969
GSM1230906,1.2771397
GSM1230907,1.0003544
GSM1230908,1.2594863
GSM1230909,1.0002893
GSM1230910,0.9999434
GSM1230911,0.9998512
GSM1230912,0.9998889
GSM1230913,1.0003253
GSM1230914,1.0001443
GSM1230915,0.9999275
GSM1230916,1.0001302
GSM1230917,1.4282135
GSM1230918,1.0200419
GSM1230919,1.0900915
GSM1230920,1.0001377
GSM1230921,1.0615829
GSM1230922,1.0973018
GSM1230923,1.0002043
GSM1230924,1.0002693
GSM1230925,-1.0002083
GSM1230926,-1.0004331
GSM1230927,-1.0001368
GSM1230928,-1.0000706
GSM1230929,-1.0004622
GSM1230930,-1.0889757
GSM1230931,-1.3675645
GSM1230932,-1.0002083
GSM1230933,-1.2429922
GSM1230934,-1.0001677
GSM1230935,-1.0000118
GSM1230936,-0.9999491
GSM1230937,-1.0001833
GSM1230938,-0.9998775
GSM1230939,-1.057308
GSM1230940,-1.0001783
GSM1230941,-0.999621
GSM1230942,-0.9999919
GSM1230943,-1.0000249
GSM1230944,-1.0399652
GSM1230945,-0.9999383
