Sample_ID,SVM_Score
GSM1230902,1.1455748
GSM1230903,1.1360502
GSM1230905,0.9995719
GSM1230906,2.6117224
GSM1230907,1.5474914
GSM1230908,2.144704
GSM1230909,2.1692305
GSM1230910,1.5468997
GSM1230911,1.2268309
GSM1230912,0.9995386
GSM1230913,0.9998818
GSM1230914,1.0294526
GSM1230915,1.0001118
GSM1230916,1.4799812
GSM1230917,2.8303834
GSM1230918,2.0575318
GSM1230919,1.000241
GSM1230920,1.0670205
GSM1230921,1.0001118
GSM1230922,1.0001486
GSM1230923,0.9997597
GSM1230924,0.9998932
GSM1230925,-1.6350394
GSM1230926,-0.9997645
GSM1230927,-1.308087
GSM1230928,-1.0004576
GSM1230929,-2.4143436
GSM1230930,-2.571929
GSM1230931,-4.1087431
GSM1230932,-1.0001404
GSM1230933,-3.2439228
GSM1230934,-1.3770377
GSM1230935,-2.9338263
GSM1230936,-0.9998447
GSM1230937,-0.9997234
GSM1230938,-1.7557864
GSM1230939,-3.3146733
GSM1230940,-0.9997906
GSM1230941,-2.0033003
GSM1230942,-2.8336931
GSM1230943,-0.999537
GSM1230944,-2.1983038
GSM1230945,-1.8700036
