Sample_ID,SVM_Score
GSM484448,0.9996529
GSM484449,-1.7959325
GSM484450,1.8120914
GSM484451,-0.9998834
GSM484452,1.0001578
GSM484454,1.0004834
GSM484455,1.0003294
GSM484456,-1.0001451
GSM484458,1.0005537
GSM484459,-1.4109035
GSM484460,1.0001441
GSM484461,0.9996959
GSM484462,0.9998281
GSM484463,-0.9998833
GSM484464,0.9999467
GSM484466,-1.0000835
GSM484467,1.0002297
GSM484468,-1.0004116
GSM484469,0.9998831
GSM484470,-1.0001471
GSM484471,1.0000521
GSM484472,-1.5335303
GSM484473,0.9997974
GSM484474,-0.9997947
GSM484475,-1.0003429
GSM484476,1.0001752
GSM484477,0.9996707
GSM484478,-0.9995661
GSM484481,1.1716937
GSM484482,0.9996648
GSM484483,0.9997422
GSM484484,1.1132059
GSM484485,-0.9998917
GSM484486,1.0001422
GSM484488,1.1038473
GSM484489,1.071385
