Sample_ID,SVM_Score
GSM484448,0.169555436
GSM484449,-0.950059131
GSM484450,0.246184951
GSM484451,-0.436843191
GSM484452,-0.088418835
GSM484453,-0.039133745
GSM484454,-0.244790221
GSM484455,0.023778065
GSM484456,-0.442669617
GSM484457,-0.042807931
GSM484458,0.131291333
GSM484459,-0.726585006
GSM484460,0.09016934
GSM484461,-0.001372595
GSM484462,-0.1636802
GSM484463,-0.386615174
GSM484464,-0.133678002
GSM484465,0.296467147
GSM484466,-0.330063191
GSM484467,0.127622868
GSM484468,-0.290177947
GSM484469,-0.06505449
GSM484470,-0.047556121
GSM484471,-0.209292143
GSM484472,-0.731854043
GSM484473,-0.129242217
GSM484474,-0.555705615
GSM484475,-0.343345134
GSM484476,-0.078953816
GSM484477,-0.188449938
GSM484478,-0.194247794
GSM484479,0.102542469
GSM484480,0.030425742
GSM484481,0.142285888
GSM484482,0.181336919
GSM484483,-0.104890488
GSM484484,0.043690071
GSM484485,-0.311820587
GSM484486,-0.17321529
GSM484487,-0.086970676
GSM484488,0.12490993
GSM484489,0.118531349
