Sample_ID,SVM_Score
GSM996267,-0.1319174
GSM996268,-0.1394191
GSM996269,-0.1334176
GSM996270,-0.1297622
GSM996271,-0.1379508
GSM996272,-0.136804
GSM996273,-0.1365645
GSM996274,-0.1347289
GSM996275,-0.131891
GSM996276,-0.1325352
GSM996277,-0.1306083
GSM996278,-0.1362558
GSM996279,-0.1339022
GSM996280,-0.1328359
GSM996281,-0.1374698
GSM996282,-0.1318801
GSM996283,-0.1322407
GSM996284,-0.1326104
GSM996285,-0.1298495
GSM996286,-0.1351989
GSM996287,-0.1360069
GSM996288,-0.1310337
GSM996289,-0.1333445
GSM996290,-0.1312322
GSM996291,-0.1313338
GSM996292,-0.129002
GSM996293,-0.1318045
GSM996294,-0.1362666
GSM996295,-0.1324249
GSM996296,-0.1324809
GSM996297,-0.1401461
GSM996298,-0.1355668
GSM996299,-0.1317556
GSM996300,-0.1389412
GSM996311,-0.1423582
GSM996312,-0.1401077
GSM996313,-0.1284754
GSM996314,-0.1401933
GSM996315,-0.1288207
GSM996316,-0.1266744
GSM996317,-0.1369178
GSM996318,-0.1268955
GSM996319,-0.1307603
GSM996320,-0.1370725
GSM996321,-0.1315495
GSM996322,-0.1427128
GSM996323,-0.1339288
GSM996324,-0.1257013
GSM996325,-0.1379659
GSM996326,-0.1274964
GSM996327,-0.1390082
GSM996328,-0.1414345
GSM996329,-0.134433
GSM996330,-0.1334219
GSM996331,-0.1397686
GSM996332,-0.139726
GSM996333,-0.1415321
GSM996334,-0.1377027
GSM996335,-0.1399673
GSM996336,-0.1369559
GSM996337,-0.1413483
GSM996338,-0.142843
GSM996339,-0.1435279
GSM996340,-0.1319657
GSM996341,-0.1300387
GSM996342,-0.138087
GSM996343,-0.1343128
GSM996344,-0.136978
GSM996345,-0.1402635
GSM996346,-0.1398942
GSM996347,-0.1392041
GSM996348,-0.1411193
GSM996349,-0.1363189
GSM996350,-0.1283897
GSM996351,-0.1419794
GSM996352,-0.1385327
GSM996353,-0.1321744
GSM996354,-0.1291574
GSM996355,-0.1384905
GSM996356,-0.1415657
GSM996357,-0.136219
GSM996358,-0.1226858
GSM996359,-0.1381457
GSM996360,-0.139525
GSM996361,-0.1380945
GSM996362,-0.1381337
GSM996363,-0.1310428
GSM996364,-0.1281414
GSM996365,-0.1354288
GSM996366,-0.1333845
GSM996367,-0.1292003
GSM996368,-0.1367936
GSM996369,-0.1381732
GSM996370,-0.1286419
GSM996371,-0.1386062
GSM996372,-0.1322179
GSM996373,-0.1355515
GSM996374,-0.1386775
GSM996375,-0.1412512
GSM996376,-0.1324039
GSM996377,-0.1333183
GSM996378,-0.1241581
GSM996379,-0.1379105
GSM996380,-0.1362553
GSM996381,-0.1263782
GSM996382,-0.1276613
GSM996383,-0.1341116
GSM996384,-0.1382781
GSM996385,-0.1234727
GSM996386,-0.1304952
GSM996387,-0.1377064
GSM996388,-0.1414194
GSM996389,-0.1346504
GSM996390,-0.1397501
GSM996391,-0.1270328
GSM996392,-0.131163
GSM996393,-0.1380825
GSM996394,-0.1363993
GSM996395,-0.1312912
GSM996396,-0.1390266
GSM996397,-0.1312109
GSM996398,-0.1386331
GSM996399,-0.1348398
GSM996400,-0.126077
GSM996401,-0.1321435
GSM996402,-0.1362767
GSM996403,-0.1324323
GSM996404,-0.1346597
GSM996405,-0.1343408
GSM996406,-0.1369488
GSM996407,-0.1342775
GSM996408,-0.1440769
GSM996409,-0.1350868
GSM996410,-0.1418011
GSM996411,-0.1293578
GSM996412,-0.1271727
GSM996413,-0.1278164
GSM996414,-0.1290689
GSM996415,-0.142981
GSM996416,-0.1376017
GSM996417,-0.1392812
GSM996418,-0.1340377
GSM996419,-0.1379509
GSM996420,-0.1414512
GSM996421,-0.1342831
GSM996422,-0.139572
GSM996423,-0.1406735
GSM996424,-0.1369258
GSM996425,-0.1409287
GSM996426,-0.1414208
GSM996427,-0.1375387
GSM996428,-0.1265005
GSM996429,-0.1473096
GSM996430,-0.1348071
GSM996431,-0.1266549
GSM996432,-0.1304153
GSM996433,-0.1400215
GSM996434,-0.1411977
GSM996435,-0.1408777
GSM996436,-0.136484
GSM996437,-0.1382077
GSM996438,-0.1424879
GSM996439,-0.1340339
GSM996440,-0.1359618
GSM996441,-0.1338349
GSM996442,-0.1335068
GSM996443,-0.140132
GSM996444,-0.1347723
GSM996445,-0.1347803
GSM996446,-0.1393792
GSM996447,-0.1358034
GSM996448,-0.1415116
GSM996449,-0.1301115
GSM996450,-0.1290459
GSM996451,-0.1377678
GSM996452,-0.1340365
GSM996453,-0.1303004
GSM996454,-0.1289749
GSM996455,-0.1283141
GSM996456,-0.1345985
GSM996457,-0.1369937
GSM996458,-0.1357591
GSM996459,-0.1341287
GSM996460,-0.1296768
GSM996461,-0.1251312
GSM996462,-0.1395216
GSM996463,-0.1326917
GSM996464,-0.1409225
GSM996465,-0.1354325
GSM996466,-0.138617
GSM996467,-0.1408914
GSM996468,-0.1229773
GSM996469,-0.1305784
GSM996470,-0.1291322
GSM996471,-0.1357699
GSM996472,-0.1404113
GSM996473,-0.1351992
GSM996474,-0.1361031
GSM996475,-0.1475498
GSM996476,-0.1337407
GSM996477,-0.1287998
GSM996478,-0.1322573
GSM996479,-0.123988
GSM996480,-0.1368907
