"Accession","Symbol","Gene Name","Rank","Fold Change"
"NM_002046.3","GAPDH","Homo sapiens glyceraldehyde-3-phosphate dehydrogenase (GAPDH), mRNA.",1,3.29001239791547
"NM_001031.4","RPS28","Homo sapiens ribosomal protein S28 (RPS28), mRNA.",2,1.85493982616396
"NM_014652.2","IPO13","Homo sapiens importin 13 (IPO13), mRNA.",3,2.04395937515178
"NM_030928.2","CDT1","Homo sapiens chromatin licensing and DNA replication factor 1 (CDT1), mRNA.",4,3.0799907105408
"NM_005578.2","LPP","Homo sapiens LIM domain containing preferred translocation partner in lipoma (LPP), mRNA.",5,2.68393343480678
"NM_004499.3","HNRNPAB","Homo sapiens heterogeneous nuclear ribonucleoprotein A/B (HNRNPAB), transcript variant 2, mRNA.",6,1.75312820173784
"NM_024700.2","SNIP1","Homo sapiens Smad nuclear interacting protein 1 (SNIP1), mRNA.",7,2.35207532230504
"XM_001127524.1","LOC143666","PREDICTED: Homo sapiens hypothetical protein LOC143666 (LOC143666), mRNA.",8,1.84902034383926
"NM_006339.1","HMG20B","Homo sapiens high-mobility group 20B (HMG20B), mRNA.",9,2.03339508591647
"NM_001781.1","CD69","Homo sapiens CD69 molecule (CD69), mRNA.",10,4.90091883902033
"XR_001385.1","LAT1-3TM","PREDICTED: Homo sapiens SLC7A5 pseudogene, transcript variant 2 (LAT1-3TM), misc RNA.",11,2.56095177368717
"NM_021649.3","TICAM2","Homo sapiens toll-like receptor adaptor molecule 2 (TICAM2), mRNA.",12,3.41215589152166
"NM_014755.1","SERTAD2","Homo sapiens SERTA domain containing 2 (SERTAD2), mRNA.",13,2.36929227712266
"NM_032151.3","PCBD2","Homo sapiens pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2 (PCBD2), mRNA.",14,1.64530829980992
"NM_181575.3","AUP1","Homo sapiens ancient ubiquitous protein 1 (AUP1), mRNA.",15,2.65910294773194
"NM_014874.2","MFN2","Homo sapiens mitofusin 2 (MFN2), nuclear gene encoding mitochondrial protein, mRNA.",16,1.9154312656737
"XM_936316.1","LOC642161","PREDICTED: Homo sapiens similar to T-cell receptor beta chain V region CTL-L17 precursor (LOC642161), mRNA.",17,3.67392843595323
"NM_023924.3","BRD9","Homo sapiens bromodomain containing 9 (BRD9), transcript variant 1, mRNA.",18,2.96786846006987
"NM_080430.2","SELM","Homo sapiens selenoprotein M (SELM), mRNA.",19,2.02388608067788
"NM_000788.1","DCK","Homo sapiens deoxycytidine kinase (DCK), mRNA.",20,1.79259342701239
"NM_153813.2","ZFPM1","Homo sapiens zinc finger protein, multitype 1 (ZFPM1), mRNA.",21,1.7734404640663
"NM_138720.1","HIST1H2BD","Homo sapiens histone cluster 1, H2bd (HIST1H2BD), transcript variant 2, mRNA.",22,8.52605996795119
"NM_006705.2","GADD45G","Homo sapiens growth arrest and DNA-damage-inducible, gamma (GADD45G), mRNA.",23,4.65358217550803
"NM_020462.1","ERGIC1","Homo sapiens endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 (ERGIC1), transcript variant 2, mRNA.",24,3.5634737965769
"NM_003704.3","FAM193A","Homo sapiens family with sequence similarity 193, member A (FAM193A), mRNA.",25,1.53845319003737
"NM_024831.5","NCOA6IP","Homo sapiens nuclear receptor coactivator 6 interacting protein (NCOA6IP), mRNA.",26,2.17286948355183
"XR_015408.1","LOC642732","PREDICTED: Homo sapiens misc_RNA (LOC642732), miscRNA.",27,1.96355921848414
"NM_015360.3","SKIV2L2","Homo sapiens superkiller viralicidic activity 2-like 2 (S. cerevisiae) (SKIV2L2), mRNA.",28,2.17288684033819
"NM_153705.4","KDELC2","Homo sapiens KDEL (Lys-Asp-Glu-Leu) containing 2 (KDELC2), mRNA.",29,3.41538418591649
"NM_019053.3","EXOC6","Homo sapiens exocyst complex component 6 (EXOC6), transcript variant 1, mRNA.",30,1.97479763136298
"XR_019269.1","LOC649150","PREDICTED: Homo sapiens similar to eukaryotic translation elongation factor 1 alpha 2 (LOC649150), mRNA.",31,1.91341841817297
"NM_014749.2","KIAA0586","Homo sapiens KIAA0586 (KIAA0586), mRNA.",32,1.7758003696995
"NM_005990.3","STK10","Homo sapiens serine/threonine kinase 10 (STK10), mRNA.",33,1.91232745768143
"NM_004447.4","EPS8","Homo sapiens epidermal growth factor receptor pathway substrate 8 (EPS8), mRNA.",34,2.37057182848991
"NM_001752.2","CAT","Homo sapiens catalase (CAT), mRNA.",35,2.52898880375998
"NM_003791.2","MBTPS1","Homo sapiens membrane-bound transcription factor peptidase, site 1 (MBTPS1), mRNA.",36,1.49780398479498
"NM_006464.2","TGOLN2","Homo sapiens trans-golgi network protein 2 (TGOLN2), mRNA.",37,1.74131266603986
"NM_025159.1","CXorf21","Homo sapiens chromosome X open reading frame 21 (CXorf21), mRNA.",38,1.72489930837764
"NM_020831.3","MKL1","Homo sapiens megakaryoblastic leukemia (translocation) 1 (MKL1), mRNA.",39,1.76507110466273
