 Accession,Symbol,Gene Name,Rank,Fold Change HIV+TB/HIV
NM_021004,DHRS4,dehydrogenase/reductase (SDR family) member 4,1,1.402
NM_001990,EYA3,eyes absent homolog 3 (Drosophila),2,1.172
NM_030629,CMIP,c-Maf-inducing protein,3,1.248
NM_014233,UBTF,"upstream binding transcription factor, RNA polymerase I",4,-1.26
NM_032227,TMEM164,transmembrane protein 164,5,1.492
NM_078487,CDKN2B,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",6,1.422
NM_005607,PTK2,PTK2 protein tyrosine kinase 2,7,1.374
XM_939593,LOC648605,"PREDICTED: similar to Trimethyllysine dioxygenase, mitochondrial precursor",8,1.256
CR621233,NaN,full-length cDNA clone CS0DI057YA22 of Placenta Cot 25-normalized of (human),9,1.441
NM_003501,ACOX3,"acyl-Coenzyme A oxidase 3, pristanoyl",10,1.336
XM_001126647,MLKL,PREDICTED: mixed lineage kinase domain-like,11,1.454
NM_007100,ATP5I,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E",12,1.102
NM_005819,STX6,syntaxin 6,13,1.255
NM_152858,WTAP,Wilms tumor 1 associated protein,14,-1.586
NM_001531,MR1,"major histocompatibility complex, class I-related",15,1.421
XM_045290,LOC151579,PREDICTED: similar to basic leucine zipper and W2 domains 1,16,-1.234
NM_025164,SIK3,SIK family kinase 3,17,1.131
XM_036729,USP41,PREDICTED: ubiquitin specific peptidase 41,18,1.253
NM_145172,WDR63,WD repeat domain 63,19,-3.149
NM_023015,INTS3,integrator complex subunit 3,20,1.275
XM_496034,LOC653717,PREDICTED: similar to hect domain and RLD 2,21,-1.505
NM_006289,TLN1,talin 1,22,1.248
NM_016533,NINJ2,ninjurin 2,23,1.487
NM_023927,GRAMD3,GRAM domain containing 3,24,-1.293
NR_003654,SCAND2,SCAN domain containing 2,25,1.377
NM_031924,RSPH3,radial spoke 3 homolog (Chlamydomonas),26,1.349
NM_194071,CREB3L2,cAMP responsive element binding protein 3-like 2,27,1.196
NM_005484,PARP2,"poly (ADP-ribose) polymerase family, member 2",28,-1.264
NM_013349,NENF,neuron derived neurotrophic factor,29,1.222
NM_003820,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",30,1.186
NM_001044722,CSNK1G3,"casein kinase 1, gamma 3",31,-1.322
NM_001008218,AMY1B,"amylase, alpha 1B (salivary)",32,-1.406
NM_001033925,TIAL1,TIA1 cytotoxic granule-associated RNA binding protein-like 1,33,-1.212
NM_145279,MOBKL2C,"MOB1, Mps One Binder kinase activator-like 2C (yeast)",34,1.396
XM_001131304,LOC728635,PREDICTED: similar to peroxisomal short-chain alcohol dehydrogenase,35,1.414
XM_208281,LOC285053,PREDICTED: similar to ribosomal protein L18a,36,-1.227
NM_173654,C3orf64,chromosome 3 open reading frame 64,37,-1.259
NM_014709,USP34,ubiquitin specific peptidase 34,38,-1.262
AJ420516,NaN,mRNA full length insert cDNA clone EUROIMAGE 966164,39,-1.455
NM_021136,RTN1,reticulon 1,40,1.577
NM_003758,EIF3J,"eukaryotic translation initiation factor 3, subunit J",41,-1.259
NM_014634,PPM1F,protein phosphatase 1F (PP2C domain containing),42,1.337
NM_002908,REL,v-rel reticuloendotheliosis viral oncogene homolog (avian),43,-2.065
NM_032140,C16orf48,chromosome 16 open reading frame 48,44,1.151
NM_005170,ASCL2,achaete-scute complex homolog 2 (Drosophila),45,1.337
NM_005819,STX6,syntaxin 6,46,1.317
NM_001105,ACVR1,"activin A receptor, type I",47,1.183
NM_003430,ZNF91,zinc finger protein 91,48,-1.881
NM_005931,MICB,MHC class I polypeptide-related sequence B,49,1.343
NM_012228,MSRB2,methionine sulfoxide reductase B2,50,1.676
